FIRST,FOLLOW,Nonterminal,PROGRAM,IDENTIFIER,TYPE,EQ,SEMICOLON,INTEGER,CHAR,ARRAY,SQBR_OPEN,DOT2,SQBR_CLOSE,OF,INTC,RECORD,END,COMMA,VAR,PROCEDURE,BR_OPEN,ParamList?,BR_CLOSE,BEGIN,ASSIGN,IF,THEN,ELSE,FI,WHILE,DO,ENDWH,READ,WRITE,RETURN,DOT,LT,ADD,MINUS,MUL,DIV,$
{PROGRAM},{$},Program,Program -> ProgramHead DeclarePart ProgramBody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{PROGRAM},"{$,TYPE,VAR,PROCEDURE,BEGIN}",ProgramHead,ProgramHead -> PROGRAM ProgramName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{IDENTIFIER},"{$,TYPE,VAR,PROCEDURE,BEGIN}",ProgramName,,ProgramName -> IDENTIFIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'',TYPE,VAR,PROCEDURE}",{BEGIN},DeclarePart,,,DeclarePart -> TypeDec VarDec ProcDec,,,,,,,,,,,,,,DeclarePart -> TypeDec VarDec ProcDec,DeclarePart -> TypeDec VarDec ProcDec,,,,DeclarePart -> TypeDec VarDec ProcDec,,,,,,,,,,,,,,,,,,
"{'',TYPE}","{BEGIN,VAR,PROCEDURE}",TypeDec,,,TypeDec -> TypeDeclaration,,,,,,,,,,,,,,TypeDec -> '',TypeDec -> '',,,,TypeDec -> '',,,,,,,,,,,,,,,,,,
{TYPE},"{BEGIN,VAR,PROCEDURE}",TypeDeclaration,,,TypeDeclaration -> TYPE TypeDecList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{IDENTIFIER},"{BEGIN,VAR,PROCEDURE}",TypeDecList,,TypeDecList -> TypeId EQ TypeName SEMICOLON TypeDecListMore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'',IDENTIFIER}","{BEGIN,VAR,PROCEDURE}",TypeDecListMore,,TypeDecListMore -> TypeDecList,,,,,,,,,,,,,,,TypeDecListMore -> '',TypeDecListMore -> '',,,,TypeDecListMore -> '',,,,,,,,,,,,,,,,,,
{IDENTIFIER},{EQ},TypeId,,TypeId -> IDENTIFIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{IDENTIFIER,INTEGER,CHAR,ARRAY,RECORD}","{SEMICOLON,IDENTIFIER}",TypeName,,TypeName -> IDENTIFIER,,,,TypeName -> BaseType,TypeName -> BaseType,TypeName -> StructureType,,,,,,TypeName -> StructureType,,,,,,,,,,,,,,,,,,,,,,,,,,
